ags,land_total,land_settlement,land_traffic,veg_agri,veg_forrest,veg_wood,veg_heath,veg_moor,veg_marsh,veg_plant_uncover_com,water_total,settlement_ghd
01053023,794.0,181.0,42.0,515.0,48.0,,,,,5.0,2.0,2.0
01053024,301.0,12.0,5.0,268.0,14.0,,,1.0,0.0,,1.0,
01053025,1239.0,43.0,35.0,898.0,238.0,0.0,,9.0,0.0,,17.0,1.0
01053026,253.0,20.0,19.0,200.0,14.0,,,,,0.0,1.0,
01053027,1299.0,152.0,53.0,867.0,204.0,12.0,,3.0,,0.0,7.0,23.0
01053028,891.0,181.0,58.0,520.0,98.0,,18.0,,6.0,2.0,8.0,1.0
01053029,911.0,54.0,32.0,588.0,189.0,0.0,,1.0,1.0,18.0,29.0,2.0
01053030,1009.0,7.0,32.0,196.0,770.0,0.0,,,1.0,0.0,2.0,
01053031,574.0,27.0,29.0,461.0,52.0,,,,0.0,1.0,3.0,0.0
01053032,3325.0,1018.0,249.0,1000.0,743.0,,33.0,,3.0,21.0,257.0,203.0
01053033,273.0,8.0,9.0,243.0,9.0,,,,,,3.0,
01053034,515.0,15.0,15.0,450.0,28.0,,,,1.0,1.0,6.0,
01053035,521.0,11.0,31.0,316.0,147.0,0.0,10.0,,1.0,,5.0,0.0
01053036,410.0,28.0,21.0,329.0,28.0,,,,0.0,1.0,3.0,0.0
01053037,1266.0,113.0,75.0,216.0,782.0,,9.0,17.0,,,54.0,1.0
01053038,274.0,17.0,8.0,228.0,19.0,,,,,1.0,1.0,0.0
01053039,270.0,13.0,12.0,239.0,2.0,0.0,,,0.0,0.0,4.0,0.0
01053040,599.0,8.0,28.0,225.0,329.0,,,,3.0,2.0,4.0,0.0
01053041,490.0,131.0,35.0,254.0,58.0,,,,1.0,3.0,7.0,0.0
01053042,431.0,42.0,12.0,339.0,34.0,,,0.0,,1.0,4.0,
01053043,1708.0,79.0,128.0,1248.0,196.0,2.0,5.0,1.0,4.0,4.0,43.0,1.0
01053044,652.0,37.0,19.0,547.0,38.0,1.0,,,,2.0,8.0,0.0
01053045,528.0,20.0,20.0,442.0,43.0,,,,,2.0,2.0,
01053046,4225.0,194.0,157.0,1917.0,1718.0,0.0,23.0,72.0,9.0,4.0,131.0,2.0
01053047,1707.0,77.0,46.0,1017.0,558.0,,,,,2.0,8.0,
01053048,778.0,126.0,39.0,326.0,125.0,1.0,0.0,,1.0,14.0,147.0,6.0
01053049,347.0,27.0,16.0,246.0,41.0,1.0,0.0,3.0,3.0,2.0,7.0,
01053050,667.0,48.0,25.0,488.0,102.0,0.0,3.0,,,0.0,2.0,
01053051,357.0,16.0,18.0,272.0,46.0,,1.0,,,0.0,3.0,
01053052,591.0,13.0,28.0,494.0,51.0,,1.0,2.0,,,2.0,
01053053,693.0,43.0,22.0,588.0,31.0,,,,,6.0,2.0,0.0
01053054,721.0,30.0,25.0,622.0,37.0,,,,,3.0,4.0,2.0
01053056,589.0,22.0,44.0,330.0,159.0,,7.0,7.0,3.0,2.0,15.0,4.0
01053057,1205.0,30.0,33.0,804.0,302.0,,,7.0,2.0,7.0,20.0,
01053058,603.0,13.0,21.0,472.0,92.0,,,,,,6.0,1.0
01053059,421.0,17.0,19.0,362.0,18.0,,,1.0,,2.0,3.0,
01053060,789.0,35.0,55.0,567.0,129.0,,,,0.0,,4.0,1.0
01053061,690.0,69.0,25.0,566.0,24.0,4.0,,,,0.0,3.0,8.0
01053062,1773.0,40.0,32.0,1107.0,395.0,,,3.0,0.0,1.0,195.0,
01053064,417.0,41.0,15.0,298.0,58.0,0.0,,,1.0,0.0,4.0,2.0
01053066,911.0,27.0,20.0,774.0,79.0,,,,0.0,5.0,6.0,0.0
01053067,1007.0,56.0,36.0,786.0,99.0,1.0,,,4.0,1.0,23.0,
01053068,740.0,30.0,24.0,668.0,11.0,,,1.0,,,6.0,
01053069,1198.0,40.0,30.0,687.0,427.0,1.0,,,1.0,0.0,11.0,2.0
01053070,152.0,16.0,6.0,112.0,10.0,,0.0,,2.0,0.0,5.0,
01053071,821.0,38.0,22.0,629.0,126.0,,,,,,6.0,0.0
01053072,837.0,58.0,40.0,492.0,240.0,0.0,,,,1.0,5.0,1.0
01053073,824.0,30.0,36.0,682.0,67.0,,,,,3.0,6.0,0.0
01053074,794.0,21.0,27.0,574.0,167.0,,,,,0.0,4.0,
01053075,335.0,68.0,18.0,221.0,19.0,0.0,,,,5.0,5.0,1.0
01053076,735.0,72.0,39.0,563.0,54.0,0.0,,0.0,,1.0,5.0,1.0
01053077,728.0,24.0,28.0,573.0,85.0,0.0,,,3.0,2.0,12.0,1.0
01053078,607.0,17.0,13.0,532.0,37.0,,,,2.0,1.0,4.0,
